Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Josh Jackson,SF,22,MEM,22,0,17.3,3.2,7.2,1.0,3.3,2.1,4.0,1.6,2.3,0.5,2.5,3.0,1.6,0.8,0.4,1.3,1.8,9.0
Justin Jackson,PF,24,DAL,65,3,16.1,2.1,5.2,0.7,2.5,1.3,2.7,0.6,0.8,0.4,2.0,2.4,0.8,0.2,0.2,0.2,1.1,5.5
Reggie Jackson,PG,29,DET,14,10,27.2,5.4,14.1,2.2,5.9,3.2,8.3,1.9,2.4,0.8,2.1,2.9,5.1,0.6,0.1,1.6,1.5,14.9
Reggie Jackson,SG,29,LAC,17,6,21.3,3.4,7.5,1.5,3.7,1.9,3.8,1.1,1.2,0.4,2.6,3.0,3.2,0.3,0.2,1.6,2.2,9.5
Justin James,SF,23,SAC,36,0,6.4,1.0,2.3,0.3,0.8,0.7,1.5,0.3,0.6,0.2,0.7,0.9,0.5,0.2,0.3,0.2,0.5,2.5
LeBron James,PG,35,LAL,67,67,34.6,9.6,19.4,2.2,6.3,7.4,13.1,3.9,5.7,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3
Amile Jefferson,PF,26,ORL,18,0,4.1,0.3,0.8,0.0,0.0,0.3,0.8,0.3,0.8,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8
DaQuan Jeffries,SG,22,SAC,13,0,10.8,1.5,3.1,0.4,1.4,1.2,1.7,0.4,0.5,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,3.8
Ty Jerome,SG,22,PHO,31,0,10.6,1.2,3.6,0.5,1.6,0.8,2.0,0.4,0.5,0.2,1.3,1.5,1.4,0.5,0.1,0.6,0.9,3.3
Alize Johnson,PF,23,IND,17,1,6.9,0.7,1.7,0.2,0.5,0.5,1.2,0.4,0.6,0.9,1.9,2.8,0.4,0.2,0.1,0.4,0.7,2.0
B.J. Johnson,SF,24,ORL,10,0,8.3,0.9,3.2,0.3,0.9,0.6,2.3,0.9,1.0,0.3,1.2,1.5,0.3,0.3,0.0,0.6,0.3,3.0
Cameron Johnson,PF,23,PHO,57,9,22.0,3.1,7.1,1.9,4.8,1.2,2.3,0.8,1.0,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8
James Johnson,PF,32,MIA,18,0,15.6,2.2,4.8,0.9,2.5,1.3,2.3,0.4,0.8,0.4,2.4,2.9,1.2,0.3,0.7,0.8,1.9,5.7
James Johnson,C,32,MIN,14,1,24.1,4.6,9.1,1.2,3.3,3.4,5.9,1.6,2.4,1.2,3.5,4.7,3.8,1.4,1.4,2.4,3.3,12.0
Keldon Johnson,SF,20,SAS,17,1,17.7,3.1,5.2,0.8,1.3,2.4,3.9,2.1,2.6,0.6,2.8,3.4,0.9,0.8,0.1,0.8,1.6,9.1
Stanley Johnson,PF,23,TOR,25,0,6.0,0.9,2.4,0.3,1.0,0.6,1.4,0.4,0.6,0.3,1.2,1.5,0.8,0.2,0.2,0.6,0.6,2.4
Tyler Johnson,PG,27,PHO,31,3,16.6,2.1,5.5,0.8,2.7,1.3,2.8,0.8,1.0,0.3,1.4,1.7,1.6,0.4,0.3,0.8,1.4,5.7
Tyler Johnson,SG,27,BRK,8,4,24.3,4.0,9.9,1.8,4.5,2.3,5.4,2.3,2.3,1.0,2.0,3.0,3.0,0.5,0.1,0.6,1.9,12.0
Nikola Jokić,C,24,DEN,73,73,32.0,7.7,14.7,1.1,3.5,6.6,11.2,3.4,4.1,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9
Damian Jones,C,24,ATL,55,27,16.1,2.2,3.2,0.0,0.2,2.2,3.1,1.1,1.5,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6
Derrick Jones Jr.,SF,22,MIA,59,16,23.3,3.1,5.9,0.6,2.2,2.5,3.7,1.6,2.1,1.1,2.8,3.9,1.1,1.0,0.6,0.5,2.2,8.5
Tyus Jones,PG,23,MEM,65,6,19.0,3.0,6.6,0.7,1.9,2.3,4.7,0.7,0.9,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,7.4
DeAndre Jordan,C,31,BRK,56,6,22.0,3.4,5.1,0.0,0.0,3.4,5.1,1.5,2.2,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3
Cory Joseph,PG,28,SAC,72,26,24.4,2.4,5.7,0.8,2.2,1.6,3.5,0.8,1.0,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,6.4
Mfiondu Kabengele,C,22,LAC,12,0,5.3,1.2,2.7,0.8,1.7,0.4,1.0,0.4,0.4,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5
Frank Kaminsky,C,26,PHO,39,13,19.9,3.5,7.9,1.1,3.2,2.5,4.7,1.6,2.3,0.9,3.6,4.5,1.9,0.4,0.3,0.9,1.9,9.7
Enes Kanter,C,27,BOS,58,7,16.9,3.4,6.0,0.0,0.1,3.4,5.9,1.2,1.7,2.8,4.6,7.4,1.0,0.4,0.7,1.0,1.7,8.1
Luke Kennard,SG,23,DET,28,25,32.9,5.4,12.2,2.6,6.5,2.8,5.7,2.4,2.7,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8
Stanton Kidd,SG,27,UTA,4,0,3.8,0.0,0.8,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.8,0.0
Michael Kidd-Gilchrist,PF,26,TOT,25,0,11.2,0.9,2.6,0.2,0.8,0.7,1.8,0.4,0.6,0.6,2.1,2.7,0.6,0.1,0.2,0.6,1.5,2.4
Michael Kidd-Gilchrist,PF,26,CHO,12,0,13.3,1.5,4.4,0.4,1.4,1.1,3.0,0.6,0.8,0.8,2.2,2.9,0.8,0.0,0.3,0.6,1.5,4.0
Michael Kidd-Gilchrist,PF,26,DAL,13,0,9.3,0.3,1.0,0.0,0.2,0.3,0.8,0.3,0.4,0.4,2.1,2.5,0.3,0.2,0.2,0.7,1.5,0.9
Louis King,SF,20,DET,10,0,6.2,0.8,2.1,0.4,1.1,0.4,1.0,0.0,0.3,0.1,0.9,1.0,0.5,0.2,0.0,0.2,1.0,2.0
Maxi Kleber,PF,28,DAL,74,21,25.5,3.2,6.9,1.6,4.3,1.6,2.6,1.1,1.3,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,9.1
Brandon Knight,SG,28,CLE,16,0,15.1,1.8,5.4,1.2,4.0,0.6,1.4,0.3,0.8,0.2,1.1,1.3,1.9,0.3,0.1,1.0,1.3,4.9
Brandon Knight,PG,28,DET,9,3,24.6,3.4,9.0,2.9,7.4,0.6,1.6,1.8,2.3,0.1,2.2,2.3,4.2,0.6,0.1,2.4,2.2,11.6
Kevin Knox,SF,20,NYK,65,4,17.9,2.2,6.2,1.0,3.1,1.2,3.1,1.0,1.6,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4
John Konchar,SG,23,MEM,19,0,9.5,1.3,1.9,0.3,0.5,1.0,1.4,0.1,0.1,0.9,1.5,2.5,1.2,0.4,0.2,0.4,0.4,2.8
Furkan Korkmaz,SG,22,PHI,72,12,21.7,3.4,7.8,2.0,4.9,1.4,2.9,1.1,1.4,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,9.8
Luke Kornet,C,24,CHI,36,14,15.5,2.3,5.2,0.9,3.0,1.4,2.2,0.6,0.8,0.6,1.7,2.3,0.9,0.3,0.7,0.4,1.5,6.0
Kyle Korver,SF,38,MIL,58,1,16.6,2.2,5.1,1.7,4.1,0.5,1.0,0.6,0.7,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.3,6.7
Rodions Kurucs,PF,21,BRK,47,9,14.6,1.7,3.8,0.7,1.9,1.0,1.9,0.5,0.8,0.5,2.4,2.9,1.1,0.5,0.1,1.0,1.9,4.6
Kyle Kuzma,PF,24,LAL,61,9,25.0,4.8,11.0,1.4,4.5,3.4,6.5,1.9,2.5,0.9,3.6,4.5,1.3,0.5,0.4,1.5,2.1,12.8
Skal Labissière,C,23,POR,33,1,17.2,2.5,4.5,0.1,0.4,2.4,4.1,0.8,1.0,2.0,3.2,5.1,1.3,0.2,0.9,0.9,2.7,5.8
Jeremy Lamb,SG,27,IND,46,42,28.1,4.7,10.4,1.2,3.4,3.5,7.0,2.0,2.4,0.5,3.8,4.3,2.1,1.2,0.5,1.1,2.3,12.5
Romeo Langford,SG,20,BOS,32,2,11.6,0.9,2.5,0.2,0.8,0.7,1.7,0.6,0.8,0.5,0.8,1.3,0.4,0.3,0.3,0.3,1.0,2.5
Zach LaVine,SG,24,CHI,60,60,34.8,9.0,20.0,3.1,8.1,5.9,11.9,4.5,5.6,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5
Vic Law,PF,24,ORL,8,0,7.8,0.8,2.3,0.1,0.9,0.6,1.4,0.3,0.8,0.3,1.1,1.4,0.4,0.3,0.0,0.3,0.8,1.9
Jake Layman,SF,25,MIN,23,2,22.0,3.5,7.8,1.0,3.1,2.5,4.7,1.0,1.4,0.7,1.7,2.5,0.7,0.7,0.4,1.0,2.0,9.1
T.J. Leaf,PF,22,IND,28,1,7.9,1.3,3.1,0.2,0.6,1.1,2.4,0.3,0.6,0.8,1.7,2.5,0.3,0.4,0.1,0.3,0.8,3.0
Jalen Lecque,SG,19,PHO,5,0,6.4,0.8,2.0,0.0,0.8,0.8,1.2,0.4,0.4,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.6,2.0
Courtney Lee,SG,34,DAL,24,9,14.4,1.7,3.4,0.9,2.0,0.8,1.5,0.3,0.3,0.3,1.0,1.3,0.5,0.8,0.3,0.5,1.4,4.5
Damion Lee,SG,27,GSW,49,36,29.0,4.3,10.4,1.7,4.9,2.6,5.6,2.2,2.6,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7
Alex Len,C,26,TOT,55,12,17.6,3.2,5.8,0.3,1.1,2.9,4.7,1.2,1.9,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0
Alex Len,C,26,ATL,40,9,18.6,3.6,6.5,0.4,1.4,3.2,5.1,1.3,2.0,1.7,4.0,5.8,1.1,0.5,0.8,1.0,2.3,8.7
Alex Len,C,26,SAC,15,3,15.0,2.3,3.9,0.1,0.2,2.2,3.7,1.1,1.6,2.1,4.0,6.1,0.5,0.2,1.0,1.1,2.3,5.9
Kawhi Leonard,SF,28,LAC,57,57,32.4,9.3,19.9,2.2,5.7,7.2,14.2,6.2,7.1,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1
Meyers Leonard,C,27,MIA,51,49,20.3,2.3,4.6,1.0,2.5,1.3,2.1,0.4,0.5,0.6,4.5,5.1,1.1,0.3,0.3,0.8,2.1,6.1
Caris LeVert,SG,25,BRK,45,31,29.6,6.9,16.3,1.8,4.9,5.1,11.4,3.1,4.4,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7
Damian Lillard,PG,29,POR,66,66,37.5,9.5,20.4,4.1,10.2,5.4,10.2,7.0,7.8,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0
Nassir Little,PF,19,POR,48,5,11.9,1.4,3.1,0.3,1.2,1.1,1.9,0.6,0.9,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,3.6
Kevon Looney,C,23,GSW,20,4,13.1,1.5,4.0,0.1,0.7,1.4,3.3,0.5,0.6,1.4,1.9,3.3,1.0,0.6,0.3,0.6,1.7,3.4
Brook Lopez,C,31,MIL,68,67,26.7,4.3,9.9,1.5,4.8,2.8,5.1,1.9,2.2,0.9,3.7,4.6,1.5,0.7,2.4,1.0,2.4,12.0
Robin Lopez,C,31,MIL,66,5,14.5,2.2,4.5,0.5,1.6,1.7,2.9,0.4,0.8,0.8,1.6,2.4,0.7,0.2,0.7,1.0,1.5,5.4
Kevin Love,PF,31,CLE,56,56,31.8,5.8,13.0,2.6,7.0,3.2,6.0,3.3,3.9,1.0,8.8,9.8,3.2,0.6,0.3,2.5,1.6,17.6
Kyle Lowry,PG,33,TOR,58,58,36.2,5.8,13.8,2.8,8.0,2.9,5.8,5.1,5.9,0.6,4.5,5.0,7.5,1.4,0.4,3.1,3.3,19.4
Timothé Luwawu-Cabarrot,SF,24,BRK,47,2,18.1,2.5,5.7,1.3,3.4,1.2,2.3,1.5,1.7,0.6,2.1,2.7,0.6,0.4,0.1,0.8,2.3,7.8
Trey Lyles,PF,24,SAS,63,53,20.2,2.4,5.4,1.0,2.7,1.4,2.8,0.5,0.7,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4
Daryl Macon,PG,24,MIA,4,0,3.5,0.3,0.8,0.3,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8
J.P. Macura,SG,24,CLE,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Magette,PG,30,ORL,8,0,4.8,0.6,1.9,0.1,0.5,0.5,1.4,0.1,0.3,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5
Ian Mahinmi,C,33,WAS,38,35,21.3,2.7,5.5,0.1,0.7,2.6,4.8,1.8,3.0,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4
Thon Maker,C,22,DET,60,14,12.9,1.6,3.2,0.4,1.1,1.2,2.2,1.2,1.8,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7
Terance Mann,SF,23,LAC,41,6,8.8,0.9,1.9,0.2,0.5,0.7,1.4,0.4,0.7,0.2,1.1,1.3,1.3,0.3,0.1,0.4,1.1,2.4
Boban Marjanović,C,31,DAL,44,5,9.6,2.8,4.8,0.1,0.4,2.7,4.4,1.0,1.3,1.5,3.0,4.5,0.5,0.2,0.2,0.7,1.3,6.6
Lauri Markkanen,PF,22,CHI,50,50,29.8,5.0,11.8,2.2,6.3,2.8,5.5,2.5,3.1,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,14.7
Caleb Martin,SF,24,CHO,18,1,17.6,2.1,4.7,1.1,2.1,0.9,2.6,0.9,1.2,0.6,1.6,2.1,1.3,0.7,0.4,0.8,1.8,6.2
Cody Martin,SF,24,CHO,48,3,18.8,1.9,4.3,0.4,1.6,1.5,2.7,0.9,1.4,0.8,2.5,3.3,2.0,0.8,0.2,0.9,1.6,5.0
Jeremiah Martin,PG,23,BRK,9,0,11.0,2.7,5.9,0.6,2.0,2.1,3.9,1.2,1.6,0.1,1.0,1.1,2.0,0.8,0.2,0.4,0.8,7.1
Kelan Martin,SF,24,MIN,31,4,16.0,2.3,5.8,0.8,3.1,1.5,2.7,1.0,1.0,0.4,2.7,3.1,0.7,0.2,0.3,0.6,1.6,6.4
Frank Mason III,PG,25,MIL,9,0,13.1,2.6,5.7,0.7,2.3,1.9,3.3,1.1,1.9,0.6,1.6,2.1,3.2,0.6,0.1,1.2,1.2,6.9
Garrison Mathews,SG,23,WAS,18,0,12.6,1.3,3.1,1.1,2.6,0.3,0.6,1.7,1.9,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,5.4
Wesley Matthews,SG,33,MIL,67,67,24.4,2.5,6.3,1.6,4.4,0.9,1.9,0.8,1.0,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4
Luc Mbah a Moute,PF,33,HOU,3,0,8.3,0.7,1.7,0.0,0.7,0.7,1.0,0.3,0.7,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,1.7
Patrick McCaw,SF,24,TOR,37,12,24.5,1.8,4.4,0.6,1.9,1.2,2.5,0.4,0.5,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6
CJ McCollum,SG,28,POR,70,70,36.5,8.7,19.4,2.8,7.3,6.0,12.1,2.0,2.6,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2
T.J. McConnell,PG,27,IND,71,3,18.7,3.0,5.8,0.1,0.2,2.9,5.5,0.5,0.6,0.5,2.1,2.7,5.0,0.8,0.2,1.4,1.0,6.5
Jalen McDaniels,SF,22,CHO,16,0,18.3,2.1,4.4,0.6,1.5,1.5,2.9,0.9,1.1,0.9,3.1,4.1,0.8,0.5,0.2,0.7,2.3,5.6
Doug McDermott,PF,28,IND,69,0,19.9,3.9,7.9,1.9,4.3,2.0,3.7,0.7,0.8,0.4,2.1,2.5,1.1,0.2,0.1,0.6,1.7,10.3
JaVale McGee,C,32,LAL,68,68,16.6,2.9,4.5,0.0,0.1,2.8,4.4,0.8,1.2,1.8,3.9,5.7,0.5,0.5,1.4,0.8,2.3,6.6
Rodney McGruder,SG,28,LAC,56,4,15.6,1.3,3.2,0.4,1.6,0.9,1.6,0.3,0.6,0.5,2.2,2.7,0.6,0.5,0.1,0.4,1.3,3.3
Alfonzo McKinnie,SF,27,CLE,40,1,14.8,1.8,4.3,0.4,1.6,1.5,2.7,0.6,0.8,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6
Jordan McLaughlin,PG,23,MIN,30,2,19.7,2.9,5.9,1.0,2.5,1.9,3.4,0.9,1.3,0.2,1.4,1.6,4.2,1.1,0.1,1.0,1.0,7.6
Ben McLemore,SF,26,HOU,71,23,22.8,3.4,7.7,2.5,6.4,0.9,1.3,0.7,0.9,0.3,1.9,2.2,0.8,0.6,0.2,0.7,2.2,10.1
Jordan McRae,SG,28,TOT,37,4,21.2,4.0,9.9,1.2,3.4,2.8,6.5,2.2,2.9,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2.0,11.5
Jordan McRae,SG,28,WAS,29,4,22.6,4.6,10.9,1.4,3.7,3.2,7.3,2.2,2.9,0.6,3.0,3.6,2.8,0.7,0.5,1.3,2.1,12.8
Jordan McRae,SG,28,DEN,4,0,8.0,0.5,1.5,0.5,1.0,0.0,0.5,0.8,1.0,0.3,1.0,1.3,1.0,0.5,0.3,0.0,0.5,2.3
Jordan McRae,SG,28,DET,4,0,24.5,3.5,10.8,0.8,4.0,2.8,6.8,4.0,5.5,0.0,3.8,3.8,1.8,0.0,0.0,1.3,2.5,11.8
Nicolò Melli,C,29,NOP,60,8,17.4,2.3,5.4,1.2,3.4,1.1,2.0,0.9,1.2,0.6,2.4,3.0,1.4,0.6,0.4,0.8,2.1,6.6
De'Anthony Melton,PG,21,MEM,60,8,19.5,2.7,6.7,0.7,2.3,2.0,4.4,1.6,2.0,0.7,3.0,3.7,2.9,1.3,0.3,1.4,1.8,7.6
Chimezie Metu,C,22,SAS,18,0,5.8,1.3,2.3,0.0,0.1,1.3,2.2,0.6,0.7,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2
Khris Middleton,SF,28,MIL,62,59,29.9,7.6,15.3,2.4,5.7,5.2,9.6,3.4,3.7,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9
Eric Mika,C,25,SAC,1,0,19.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0
C.J. Miles,SF,32,WAS,10,0,16.1,1.9,5.9,1.1,3.5,0.8,2.4,1.5,2.0,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
Malcolm Miller,SF,26,TOR,28,1,5.8,0.4,1.0,0.3,0.8,0.1,0.3,0.1,0.3,0.1,0.5,0.6,0.4,0.2,0.1,0.1,0.6,1.3
Patty Mills,PG,31,SAS,66,1,22.5,3.9,9.1,2.3,6.1,1.6,3.0,1.5,1.7,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6
Paul Millsap,PF,34,DEN,51,48,24.3,4.1,8.6,1.1,2.4,3.1,6.2,2.3,2.8,1.9,3.8,5.7,1.6,0.9,0.6,1.4,2.9,11.6
Shake Milton,SG,23,PHI,40,24,20.1,3.4,6.9,1.5,3.4,1.9,3.6,1.3,1.6,0.4,1.8,2.2,2.6,0.5,0.2,1.2,2.3,9.4
Donovan Mitchell,SG,23,UTA,69,69,34.3,8.7,19.4,2.5,6.9,6.2,12.6,4.0,4.7,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,24.0
Naz Mitrou-Long,SG,26,IND,5,0,9.4,1.2,3.4,0.4,2.4,0.8,1.0,0.0,0.0,0.0,1.4,1.4,1.6,0.2,0.2,0.6,0.4,2.8
Adam Mokoka,SF,21,CHI,11,0,10.2,1.1,2.5,0.5,1.4,0.5,1.2,0.2,0.4,0.6,0.3,0.9,0.4,0.4,0.0,0.2,1.5,2.9
Malik Monk,SG,21,CHO,55,1,21.3,3.9,8.9,1.1,3.7,2.8,5.2,1.5,1.8,0.5,2.4,2.9,2.1,0.5,0.3,1.4,1.3,10.3
Matt Mooney,SG,22,CLE,4,0,4.8,0.3,1.0,0.0,0.5,0.3,0.5,0.0,0.0,0.0,0.8,0.8,0.3,0.5,0.3,0.0,0.3,0.5
E'Twaun Moore,SG,30,NOP,56,6,18.2,3.3,7.8,1.1,3.0,2.2,4.8,0.6,0.8,0.6,1.8,2.3,1.4,0.6,0.2,0.7,1.4,8.3
Ja Morant,PG,20,MEM,67,67,31.0,6.7,14.0,0.9,2.7,5.8,11.3,3.6,4.6,0.8,3.1,3.9,7.3,0.9,0.3,3.3,1.6,17.8
Juwan Morgan,PF,22,UTA,21,0,6.4,0.7,1.2,0.1,0.4,0.6,0.9,0.1,0.2,0.5,0.9,1.4,0.3,0.0,0.1,0.3,0.9,1.7
Marcus Morris,SF,30,NYK,43,43,32.3,6.5,14.8,2.7,6.1,3.8,8.7,3.8,4.6,1.1,4.3,5.4,1.4,0.8,0.4,1.7,3.0,19.6
Marcus Morris,PF,30,LAC,19,19,28.9,3.9,9.2,1.4,4.4,2.5,4.7,0.9,1.2,0.6,3.5,4.1,1.4,0.7,0.7,1.3,2.7,10.1
Markieff Morris,PF,30,TOT,58,17,20.5,3.5,7.9,1.5,3.9,2.0,4.0,1.1,1.5,0.7,3.1,3.8,1.3,0.5,0.3,1.3,2.3,9.7
Markieff Morris,PF,30,DET,44,16,22.5,4.0,8.8,1.7,4.3,2.3,4.5,1.4,1.8,0.5,3.4,3.9,1.6,0.6,0.3,1.6,2.4,11.0
Markieff Morris,PF,30,LAL,14,1,14.2,2.0,4.9,0.9,2.8,1.1,2.1,0.4,0.4,1.1,2.1,3.2,0.6,0.4,0.4,0.4,2.1,5.3
Monte Morris,PG,24,DEN,73,12,22.4,3.6,7.8,0.9,2.4,2.7,5.4,1.0,1.2,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1.0,9.0
Johnathan Motley,PF,24,LAC,13,0,3.2,0.8,1.2,0.1,0.1,0.8,1.1,0.4,0.5,0.2,0.5,0.8,0.6,0.2,0.0,0.4,0.5,2.2
Emmanuel Mudiay,PG,23,UTA,54,2,15.7,2.8,6.1,0.6,1.6,2.2,4.4,1.2,1.5,0.3,2.0,2.3,2.1,0.4,0.2,1.4,1.3,7.3
Mychal Mulder,SF,25,GSW,7,3,29.1,3.7,9.6,2.3,7.4,1.4,2.1,1.3,1.7,0.4,2.9,3.3,1.1,0.3,0.1,0.7,2.9,11.0
Dejounte Murray,PG,23,SAS,66,58,25.6,4.5,9.7,0.6,1.7,3.8,8.0,1.4,1.7,1.0,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9
Jamal Murray,PG,22,DEN,59,59,32.3,6.9,15.2,1.9,5.5,5.0,9.7,2.8,3.1,0.8,3.2,4.0,4.8,1.1,0.3,2.2,1.7,18.5
Džanan Musa,SF,20,BRK,40,0,12.2,1.6,4.3,0.5,2.0,1.1,2.4,1.1,1.5,0.5,1.6,2.2,1.1,0.4,0.0,0.9,0.8,4.8
Mike Muscala,C,28,OKC,47,2,12.2,1.6,4.0,1.1,3.0,0.5,1.0,0.4,0.5,0.3,2.0,2.3,0.9,0.2,0.3,0.4,1.2,4.8
Sviatoslav Mykhailiuk,SF,22,DET,56,27,22.6,3.0,7.2,2.1,5.1,0.9,2.1,1.0,1.3,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0
Abdel Nader,SF,26,OKC,55,6,15.8,2.2,4.8,0.9,2.3,1.4,2.5,0.9,1.2,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3
Larry Nance Jr.,PF,27,CLE,56,10,26.3,4.1,7.7,1.0,2.8,3.1,4.9,0.9,1.3,1.9,5.4,7.3,2.2,1.0,0.4,1.1,1.6,10.1
Shabazz Napier,PG,28,TOT,56,32,24.0,3.4,8.1,1.4,4.3,2.0,3.9,2.3,2.7,0.5,2.4,2.8,4.7,1.2,0.2,2.3,1.8,10.3
Shabazz Napier,PG,28,MIN,36,22,23.8,3.2,7.9,1.3,4.4,1.9,3.4,2.0,2.4,0.5,2.6,3.1,5.2,1.1,0.2,2.1,1.7,9.6
Shabazz Napier,PG,28,WAS,20,10,24.4,3.7,8.7,1.5,4.1,2.3,4.6,2.7,3.3,0.5,2.0,2.4,3.8,1.5,0.2,2.6,2.0,11.6
Raul Neto,PG,27,PHI,54,3,12.4,1.9,4.1,0.6,1.6,1.2,2.5,0.7,0.9,0.2,0.9,1.1,1.8,0.4,0.1,0.9,0.9,5.1
Malik Newman,SG,22,CLE,1,0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Georges Niang,PF,26,UTA,66,1,14.0,2.1,4.9,1.4,3.4,0.8,1.5,0.3,0.4,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,5.9
Joakim Noah,C,34,LAC,5,0,10.0,0.8,1.6,0.0,0.0,0.8,1.6,1.2,1.6,1.0,2.2,3.2,1.4,0.2,0.2,1.2,1.8,2.8
Nerlens Noel,C,25,OKC,61,7,18.5,3.0,4.4,0.0,0.0,3.0,4.4,1.3,1.7,1.5,3.4,4.9,0.9,1.0,1.5,1.1,2.7,7.4
Zach Norvell,SG,22,TOT,5,0,8.2,0.6,2.4,0.6,1.6,0.0,0.8,0.2,0.2,0.0,1.2,1.2,0.6,0.4,0.0,0.6,0.8,2.0
Zach Norvell,SG,22,LAL,2,0,2.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Zach Norvell,SG,22,GSW,3,0,12.0,1.0,3.7,1.0,2.7,0.0,1.0,0.3,0.3,0.0,1.7,1.7,1.0,0.7,0.0,1.0,1.3,3.3
Jaylen Nowell,SG,20,MIN,15,0,10.1,1.3,3.5,0.2,1.7,1.1,1.8,1.1,1.1,0.2,0.7,0.9,1.3,0.2,0.1,0.2,0.7,3.8
Frank Ntilikina,PG,21,NYK,57,26,20.8,2.3,5.8,0.8,2.4,1.5,3.4,0.9,1.0,0.4,1.7,2.1,3.0,0.9,0.3,1.2,2.5,6.3
Kendrick Nunn,PG,24,MIA,67,67,29.3,6.0,13.6,2.0,5.8,3.9,7.8,1.3,1.5,0.3,2.4,2.7,3.3,0.8,0.2,1.7,2.3,15.3
Jusuf Nurkić,C,25,POR,8,8,31.6,6.8,13.6,0.3,1.3,6.5,12.4,3.9,4.4,2.9,7.4,10.3,4.0,1.4,2.0,2.4,4.9,17.6
David Nwaba,SF,27,BRK,20,0,13.4,1.9,3.6,0.6,1.4,1.3,2.2,0.9,1.4,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
Royce O'Neale,SF,26,UTA,71,62,28.9,2.2,5.1,1.3,3.4,0.9,1.7,0.6,0.8,0.4,5.1,5.5,2.5,0.8,0.5,0.9,2.8,6.3
