Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tacko Fall,C,24,BOS,7,0,4.7,1.6,2.0,0.0,0.0,1.6,2.0,0.1,0.4,0.1,2.0,2.1,0.1,0.1,0.6,0.4,1.0,3.3
Derrick Favors,C,28,NOP,51,49,24.4,4.1,6.6,0.0,0.1,4.1,6.5,0.8,1.4,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9.0
Cristiano Felício,C,27,CHI,22,0,17.5,1.5,2.5,0.0,0.1,1.5,2.4,0.8,1.0,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9
Terrance Ferguson,SF,21,OKC,56,38,22.4,1.4,3.9,0.9,3.0,0.5,0.9,0.3,0.4,0.4,0.9,1.3,0.9,0.5,0.3,0.6,2.8,3.9
Bruno Fernando,C,21,ATL,56,13,12.7,1.8,3.6,0.1,0.7,1.8,2.9,0.5,0.9,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
Yogi Ferrell,PG,26,SAC,50,0,10.6,1.6,3.8,0.5,1.6,1.1,2.2,0.7,0.8,0.1,0.9,1.0,1.4,0.4,0.1,0.6,0.8,4.4
Dorian Finney-Smith,PF,26,DAL,71,68,29.9,3.4,7.4,1.6,4.3,1.8,3.1,1.1,1.5,2.0,3.7,5.7,1.6,0.6,0.5,1.0,2.5,9.5
Bryn Forbes,SG,26,SAS,63,62,25.1,3.8,9.2,2.3,6.0,1.5,3.2,1.2,1.4,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2
Evan Fournier,SF,27,ORL,66,66,31.5,6.6,14.1,2.6,6.6,4.0,7.5,2.7,3.3,0.3,2.3,2.6,3.2,1.1,0.2,1.9,2.4,18.5
De'Aaron Fox,PG,22,SAC,51,49,32.0,7.7,16.0,1.1,3.6,6.6,12.4,4.7,6.7,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1
Melvin Frazier,SG,23,ORL,19,0,6.6,0.8,1.8,0.4,0.8,0.4,0.9,0.1,0.2,0.1,0.4,0.5,0.2,0.5,0.1,0.3,0.6,2.1
Michael Frazier,SG,25,HOU,13,0,11.2,0.5,2.2,0.3,1.8,0.2,0.5,0.7,1.1,0.1,0.7,0.8,0.2,0.2,0.0,0.4,1.7,2.1
Tim Frazier,PG,29,DET,27,11,13.1,1.3,3.5,0.4,1.1,0.9,2.4,0.7,0.9,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
Markelle Fultz,PG,21,ORL,72,60,27.7,5.0,10.7,0.5,1.9,4.5,8.8,1.6,2.2,0.6,2.7,3.3,5.1,1.3,0.2,2.0,2.0,12.1
Wenyen Gabriel,PF,22,TOT,30,1,7.8,0.7,1.6,0.2,0.7,0.5,0.9,0.5,0.7,0.7,1.0,1.7,0.3,0.4,0.2,0.5,1.3,2.1
Wenyen Gabriel,PF,22,SAC,11,0,5.5,0.5,1.5,0.1,0.7,0.5,0.8,0.5,0.9,0.4,0.5,0.9,0.3,0.3,0.2,0.5,0.6,1.7
Wenyen Gabriel,PF,22,POR,19,1,9.2,0.8,1.6,0.3,0.6,0.5,1.0,0.5,0.6,0.9,1.3,2.2,0.3,0.4,0.3,0.6,1.7,2.3
Daniel Gafford,C,21,CHI,43,7,14.2,2.2,3.1,0.0,0.0,2.2,3.1,0.7,1.4,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
Danilo Gallinari,PF,31,OKC,62,62,29.6,5.8,13.2,2.9,7.1,2.9,6.1,4.3,4.8,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7
Langston Galloway,SG,28,DET,66,6,25.8,3.6,8.2,2.0,5.0,1.6,3.2,1.1,1.3,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3
Darius Garland,SG,20,CLE,59,59,30.9,4.7,11.8,1.8,5.0,3.0,6.8,1.1,1.2,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
Marc Gasol,C,35,TOR,44,43,26.4,2.7,6.3,1.3,3.4,1.4,3.0,0.8,1.1,0.7,5.5,6.3,3.3,0.8,0.9,1.3,2.8,7.5
Rudy Gay,PF,33,SAS,67,5,21.8,4.0,8.9,1.1,3.3,2.9,5.6,1.8,2.0,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8
Paul George,SF,29,LAC,48,48,29.6,7.1,16.3,3.3,7.9,3.9,8.4,4.0,4.5,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5
Taj Gibson,C,34,NYK,62,56,16.5,2.7,4.6,0.1,0.2,2.6,4.4,0.7,0.9,1.8,2.5,4.3,0.8,0.4,0.5,0.8,2.0,6.1
Harry Giles,C,21,SAC,46,17,14.5,3.0,5.5,0.0,0.0,3.0,5.4,0.8,1.1,0.9,3.2,4.1,1.3,0.5,0.4,1.0,2.6,6.9
Shai Gilgeous-Alexander,SG,21,OKC,70,70,34.7,6.8,14.5,1.2,3.6,5.6,10.9,4.1,5.1,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19.0
Rudy Gobert,C,27,UTA,68,68,34.3,5.7,8.2,0.0,0.0,5.7,8.2,3.7,5.9,3.4,10.1,13.5,1.5,0.8,2.0,1.9,3.2,15.1
Brandon Goodwin,PG,24,ATL,34,1,12.6,2.2,5.6,0.8,2.6,1.5,3.0,0.8,0.9,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
Aaron Gordon,PF,24,ORL,62,62,32.5,5.4,12.4,1.2,3.8,4.2,8.5,2.4,3.6,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4
Eric Gordon,SF,31,HOU,36,15,28.2,4.8,12.9,2.7,8.4,2.1,4.4,2.3,3.0,0.3,1.7,2.0,1.5,0.6,0.4,1.2,1.9,14.4
Devonte' Graham,PG,24,CHO,63,53,35.1,5.8,15.3,3.5,9.3,2.4,6.0,3.0,3.7,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2
